uri:/instrument/1.0/AAPL/chartdata;type=quote;range=10d/csv
ticker:aapl
Company-Name:Apple Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:113.4000
range:20150910,1441891800,1441915200
range:20150911,1441978200,1442001600
range:20150914,1442237400,1442260800
range:20150915,1442323800,1442347200
range:20150916,1442410200,1442433600
range:20150917,1442496600,1442520000
range:20150918,1442583000,1442606400
range:20150921,1442842200,1442865600
range:20150922,1442928600,1442952000
range:20150923,1443015000,1443038400
Timestamp:1441891800,1443038400
labels:1441891800,1441978200,1442237400,1442323800,1442410200,1442496600,1442583000,1442842200,1442928600,1443015000
values:Timestamp,close,high,low,open,volume
close:110.2200,116.4700
high:110.7000,116.8900
low:109.9000,116.4100
open:110.0700,116.5800
volume:0,16754000
1441892099,110.2200,110.7000,110.0000,110.0700,2844400
1441892399,111.1399,111.1600,109.9000,110.2410,2191900
1441892640,111.2100,111.6800,111.1300,111.1400,2116400
1441892999,111.3900,111.6100,111.1800,111.2000,1069900
1441893298,111.3000,111.3800,111.0000,111.3800,1503100
1441893599,111.1800,111.4100,111.1400,111.3400,1221200
1441893840,110.9300,111.3398,110.8100,111.1900,1118000
1441894140,111.0600,111.1900,110.9000,110.9900,823100
1441894498,110.8200,111.0700,110.6889,111.0700,944700
1441894799,111.3140,111.3400,110.8065,110.8300,1017200
1441895040,111.2550,111.4800,111.2100,111.3100,945800
1441895398,111.4500,111.4500,111.1500,111.2600,704500
1441895699,111.8200,111.8600,111.4300,111.4500,1464000
1441895940,111.9750,111.9900,111.7300,111.8001,987600
1441896299,112.1200,112.1900,111.9400,111.9700,1255600
1441896540,112.3900,112.4772,112.0900,112.1300,1095400
1441896899,112.4300,112.7100,112.3900,112.4100,1217200
1441897140,112.3350,112.4900,112.2500,112.4400,987600
1441897440,112.2597,112.4600,112.2200,112.3300,807100
1441897797,112.2900,112.4500,112.2300,112.2650,680000
1441898099,112.1030,112.3200,112.1000,112.2900,738000
1441898340,111.9600,112.1600,111.9300,112.1100,777100
1441898699,111.9000,112.0300,111.8200,111.9700,823600
1441898999,112.1086,112.1200,111.7600,111.8990,708000
1441899299,112.1490,112.2800,112.0200,112.1100,673000
1441899599,112.4899,112.6600,112.1500,112.1500,1401800
1441899899,112.4927,112.6000,112.3200,112.4800,584800
1441900140,112.2200,112.5400,112.1950,112.4950,517700
1441900442,112.4400,112.4700,112.1501,112.2300,449200
1441900799,112.4200,112.5400,112.2500,112.4500,463800
1441901040,112.5360,112.5600,112.4200,112.4750,432600
1441901340,112.7186,112.7700,112.3800,112.5400,717800
1441901699,112.6100,112.7400,112.5300,112.7150,608500
1441901940,112.4000,112.7201,112.3200,112.6000,560100
1441902296,112.3400,112.5000,112.2650,112.4000,573400
1441902540,112.3600,112.5100,112.2700,112.3400,477200
1441902840,112.4000,112.4500,112.1900,112.3500,392300
1441903198,112.5300,112.5700,112.3600,112.3868,456700
1441903441,112.4471,112.5400,112.3700,112.5400,351500
1441903799,112.6100,112.6200,112.3750,112.4400,394200
